Residue_Index,Helix_Persistence,Sheet_Persistence,Coil_Persistence
191,0.6923076923076923,0.0,0.3076923076923077
192,0.6923076923076923,0.0,0.3076923076923077
193,0.0,0.0,1.0
194,0.0,0.0,1.0
195,0.0,0.9615384615384616,0.038461538461538464
196,0.0,0.9615384615384616,0.038461538461538464
197,0.0,1.0,0.0
198,0.0,1.0,0.0
199,0.0,1.0,0.0
200,0.0,0.46153846153846156,0.5384615384615384
201,0.0,0.0,1.0
202,0.0,0.0,1.0
203,0.0,0.0,1.0
204,0.0,0.0,1.0
205,0.0,0.0,1.0
206,0.0,0.0,1.0
207,0.0,0.0,1.0
208,0.0,0.0,1.0
209,0.0,0.9615384615384616,0.038461538461538464
210,0.0,1.0,0.0
211,0.0,1.0,0.0
212,0.0,1.0,0.0
213,0.0,1.0,0.0
214,0.0,0.9615384615384616,0.038461538461538464
215,0.0,0.0,1.0
216,0.0,0.0,1.0
217,0.5769230769230769,0.0,0.4230769230769231
218,0.6923076923076923,0.0,0.3076923076923077
219,1.0,0.0,0.0
220,1.0,0.0,0.0
221,1.0,0.0,0.0
222,1.0,0.0,0.0
223,1.0,0.0,0.0
224,1.0,0.0,0.0
225,0.9230769230769231,0.0,0.07692307692307693
226,0.9230769230769231,0.0,0.07692307692307693
227,0.4230769230769231,0.0,0.5769230769230769
228,0.0,0.0,1.0
229,0.0,0.0,1.0
230,0.0,0.07692307692307693,0.9230769230769231
231,0.0,1.0,0.0
232,0.0,1.0,0.0
233,0.0,0.0,1.0
234,0.0,0.0,1.0
235,0.0,1.0,0.0
236,0.0,1.0,0.0
237,0.0,0.07692307692307693,0.9230769230769231
238,0.0,1.0,0.0
239,0.0,1.0,0.0
240,0.0,1.0,0.0
241,0.0,1.0,0.0
242,0.0,0.0,1.0
243,0.0,0.0,1.0
244,0.0,0.0,1.0
245,0.0,0.0,1.0
246,0.0,0.0,1.0
247,0.8846153846153846,0.0,0.11538461538461539
248,0.8846153846153846,0.0,0.11538461538461539
249,1.0,0.0,0.0
250,1.0,0.0,0.0
251,0.46153846153846156,0.0,0.5384615384615384
252,0.0,0.0,1.0
253,0.0,0.0,1.0
254,0.0,0.0,1.0
255,0.5769230769230769,0.0,0.4230769230769231
256,0.5769230769230769,0.0,0.4230769230769231
257,0.5769230769230769,0.0,0.4230769230769231
258,0.0,0.0,1.0
259,0.0,0.0,1.0
260,0.0,0.0,1.0
261,0.0,0.0,1.0
262,0.0,1.0,0.0
263,0.0,1.0,0.0
264,0.0,1.0,0.0
265,0.0,1.0,0.0
266,0.0,1.0,0.0
267,0.0,0.0,1.0
268,0.0,0.0,1.0
269,0.0,0.0,1.0
270,0.0,0.0,1.0
271,0.0,0.0,1.0
272,0.0,0.0,1.0
273,0.0,0.0,1.0
274,1.0,0.0,0.0
275,1.0,0.0,0.0
276,1.0,0.0,0.0
277,1.0,0.0,0.0
278,1.0,0.0,0.0
279,1.0,0.0,0.0
280,1.0,0.0,0.0
281,1.0,0.0,0.0
282,1.0,0.0,0.0
283,1.0,0.0,0.0
284,1.0,0.0,0.0
285,1.0,0.0,0.0
286,0.5769230769230769,0.0,0.4230769230769231
287,0.5,0.0,0.5
288,0.5,0.0,0.5
289,0.0,0.0,1.0
290,0.0,0.0,1.0
291,0.0,1.0,0.0
292,0.0,1.0,0.0
293,0.0,1.0,0.0
294,0.0,1.0,0.0
295,0.0,1.0,0.0
296,0.0,0.23076923076923078,0.7692307692307693
297,0.0,0.0,1.0
298,0.0,0.0,1.0
299,0.0,0.0,1.0
300,0.0,0.0,1.0
301,0.0,0.0,1.0
302,0.0,0.0,1.0
303,0.0,0.0,1.0
304,0.0,0.0,1.0
305,0.0,0.7307692307692307,0.2692307692307692
306,0.0,1.0,0.0
307,0.0,1.0,0.0
308,0.0,1.0,0.0
309,0.0,1.0,0.0
310,0.0,1.0,0.0
311,0.0,0.0,1.0
312,0.0,0.0,1.0
313,1.0,0.0,0.0
314,1.0,0.0,0.0
315,1.0,0.0,0.0
316,1.0,0.0,0.0
317,1.0,0.0,0.0
318,1.0,0.0,0.0
319,1.0,0.0,0.0
320,1.0,0.0,0.0
321,1.0,0.0,0.0
322,1.0,0.0,0.0
323,0.8461538461538461,0.0,0.15384615384615385
324,0.0,0.0,1.0
325,0.0,0.0,1.0
326,0.0,0.0,1.0
327,0.0,1.0,0.0
328,0.0,0.8846153846153846,0.11538461538461539
329,0.0,0.0,1.0
330,0.0,0.0,1.0
331,0.0,0.8846153846153846,0.11538461538461539
332,0.0,1.0,0.0
333,0.0,0.0,1.0
334,0.0,1.0,0.0
335,0.0,1.0,0.0
336,0.0,1.0,0.0
337,0.0,1.0,0.0
338,0.0,0.0,1.0
339,0.0,0.0,1.0
340,0.0,0.0,1.0
341,0.0,0.0,1.0
342,0.0,0.0,1.0
343,0.9230769230769231,0.0,0.07692307692307693
344,0.9615384615384616,0.0,0.038461538461538464
345,1.0,0.0,0.0
346,0.9615384615384616,0.0,0.038461538461538464
347,0.3076923076923077,0.0,0.6923076923076923
348,0.0,0.0,1.0
